1;150000;Lisboa;2;65;1970;0;1;1;D;1;340;1;0
2;13500;Sintra;0;15;1980;0;0;0;D;0;50;1;0
3;30000;Amadora;0;33;1988;0;1;0;C;0;75;1;0
4;35000;Sintra;3;90;1980;0;1;1;E;0;80;1;0
5;350000;Oeiras;4;180;1998;1;1;0;C;1;768;1;0
6;330000;Lisboa;2;80;1965;0;1;1;C;1;650;1;0
7;325000;Parque das Nacoes;0;61;2009;0;1;1;B;1;650;1;0
8;280000;Parque das Nacoes;4;154;1967;1;1;1;B;1;365;1;0
9;250000;Sintra;3;186;1967;1;1;1;B;1;365;1;0
10;160000;Telheiras;2;40;1983;0;0;0;E;0;300;1;0
11;100000;Telheiras;2;85;2000;1;0;1;A;0;383;1;1
12;80000;Odivelas;1;40;1983;0;0;0;D;0;150;1;0
13;180000;Lisboa;2;40;1983;0;0;0;E;0;300;1;0
14;200000;Telheiras;3;40;1983;0;0;0;E;0;300;1;0
